occupation,p_automation,routineness,complexity,stratum,,,,,,,,,,,,,,,
Announcers,0.72,0.513,0.522,2,,,,,,,,,,,,,,,
"Athletes, sports instructors, and officials",0.147,0.003,0.534,2,,,,,,,,,,,,,,,
Clinical laboratory technologies and technicians,0.685,0.65,0.732,2,,,,,,,,,,,,,,,
Dental hygienists,0.68,0.863,0.535,2,,,,,,,,,,,,,,,
Health record technologists and technicians,0.91,0.37,0.346,2,,,,,,,,,,,,,,,
Radiologic technologists and technicians,0.23,0.291,0.663,2,,,,,,,,,,,,,,,
Licensed practical nurses,0.058,0.349,0.719,2,,,,,,,,,,,,,,,
"Health technologists and technicians, n.e.c.",0.4,0.425,0.734,2,,,,,,,,,,,,,,,
Engineering technicians,0.24,0.419,0.775,2,,,,,,,,,,,,,,,
Drafters,0.67,0.848,0.646,2,,,,,,,,,,,,,,,
"Surveyors, cartographers, mapping scientists/techs",0.63,0.054,0.761,2,,,,,,,,,,,,,,,
Biological technicians,0.3,0.586,0.733,2,,,,,,,,,,,,,,,
Chemical technicians,0.57,0.437,0.776,2,,,,,,,,,,,,,,,
Other science technicians,0.61,0.48,0.627,2,,,,,,,,,,,,,,,
Airplane pilots and navigators,0.18,0.051,0.935,2,,,,,,,,,,,,,,,
Air traffic controllers,0.11,0.31,0.914,2,,,,,,,,,,,,,,,
Broadcast equipment operators,0.74,0.58,0.574,2,,,,,,,,,,,,,,,
Computer software developers,0.086,0.288,0.918,2,,,,,,,,,,,,,,,
Programmers of numerically controlled machine tools,0.36,0.458,0.678,2,,,,,,,,,,,,,,,
Legal assistants and paralegals,0.94,0.741,0.431,2,,,,,,,,,,,,,,,
Sales supervisors and proprietors,0.178,0.127,0.704,2,,,,,,,,,,,,,,,
Insurance sales occupations,0.92,0.948,0.636,2,,,,,,,,,,,,,,,
Real estate sales occupations,0.86,0.805,0.66,2,,,,,,,,,,,,,,,
Financial service sales occupations,0.016,0.881,0.766,2,,,,,,,,,,,,,,,
Advertising and related sales jobs,0.54,0.996,0.628,2,,,,,,,,,,,,,,,
Sales engineers,0.004,0.343,0.962,2,,,,,,,,,,,,,,,
Retail salespersons and sales clerks,0.92,0.522,0.497,2,,,,,,,,,,,,,,,
Cashiers,0.97,0.975,0.168,1,,,,,,,,,,,,,,,
"Door-to-door sales, street sales, and news vendors",0.94,0.167,0.064,1,,,,,,,,,,,,,,,
"Sales demonstrators, promoters, and models",0.745,0.422,0.034,1,,,,,,,,,,,,,,,
Office supervisors,0.014,0.75,0.653,2,,,,,,,,,,,,,,,
Computer and peripheral equipment operators,0.78,0.452,0.744,1,,,,,,,,,,,,,,,
Secretaries and stenographers,0.903,0.993,0.419,1,,,,,,,,,,,,,,,
Typists,0.81,0.972,0.114,1,,,,,,,,,,,,,,,
"Interviewers, enumerators, and surveyors",0.94,0.911,0.371,1,,,,,,,,,,,,,,,
Hotel clerks,0.94,0.668,0.304,1,,,,,,,,,,,,,,,
Transportation ticket and reservation agents,0.61,0.762,0.502,1,,,,,,,,,,,,,,,
Receptionists and other information clerks,0.96,0.942,0.336,1,,,,,,,,,,,,,,,
Correspondence and order clerks,0.86,0.753,0.345,1,,,,,,,,,,,,,,,
"Human resources clerks, excl payroll and timekeeping",0.9,0.908,0.435,1,,,,,,,,,,,,,,,
Library assistants,0.95,0.589,0.338,1,,,,,,,,,,,,,,,
File clerks,0.97,0.984,0.339,1,,,,,,,,,,,,,,,
Bookkeepers and accounting and auditing clerks,0.98,0.966,0.522,1,,,,,,,,,,,,,,,
Payroll and timekeeping clerks,0.97,0.62,0.34,1,,,,,,,,,,,,,,,
Billing clerks and related financial records processing,0.95,0.936,0.346,1,,,,,,,,,,,,,,,
Mail and paper handlers,0.94,0.756,0.053,1,,,,,,,,,,,,,,,
"Office machine operators, n.e.c.",0.92,0.854,0.324,1,,,,,,,,,,,,,,,
Telephone operators,0.97,0.951,0.13,1,,,,,,,,,,,,,,,
"Postal clerks, exluding mail carriers",0.95,0.96,0.303,1,,,,,,,,,,,,,,,
Mail carriers for postal service,0.68,0.626,0.052,1,,,,,,,,,,,,,,,
"Mail clerks, outside of post office",0.94,0.957,0.115,1,,,,,,,,,,,,,,,
Messengers,0.94,0.781,0.13,1,,,,,,,,,,,,,,,
Dispatchers,0.96,0.826,0.573,1,,,,,,,,,,,,,,,
Shipping and receiving clerks,0.98,0.796,0.445,1,,,,,,,,,,,,,,,
Stock and inventory clerks,0.64,0.696,0.071,1,,,,,,,,,,,,,,,
Meter readers,0.85,0.647,0.325,1,,,,,,,,,,,,,,,
"Weighers, measurers, and checkers",0.95,0.869,0.326,1,,,,,,,,,,,,,,,
"Material recording, sched., prod., plan., expediting cl.",0.88,0.772,0.719,1,,,,,,,,,,,,,,,
"Insurance adjusters, examiners, and investigators",0.98,0.866,0.534,1,,,,,,,,,,,,,,,
"Customer service reps, invest., adjusters, excl. insur.",0.55,0.814,0.62,1,,,,,,,,,,,,,,,
"Eligibility clerks for government prog., social welfare",0.7,0.92,0.448,1,,,,,,,,,,,,,,,
Bill and account collectors,0.95,0.978,0.448,1,,,,,,,,,,,,,,,
General office clerks,0.96,0.927,0.249,1,,,,,,,,,,,,,,,
Bank tellers,0.98,1,0.372,1,,,,,,,,,,,,,,,
Proofreaders,0.84,0.817,0.172,1,,,,,,,,,,,,,,,
Data entry keyers,0.99,0.838,0.324,1,,,,,,,,,,,,,,,
Statistical clerks,0.66,0.905,0.932,1,,,,,,,,,,,,,,,
Teacher's aides,0.56,0.471,0.338,1,,,,,,,,,,,,,,,
"Housekeepers, maids, butlers, and cleaners",0.675,0.27,0.028,1,,,,,,,,,,,,,,,
Laundry and dry cleaning workers,0.71,0.841,0.034,1,,,,,,,,,,,,,,,
"Fire fighting, fire prevention, and fire inspection occs",0.325,0.006,0.795,1,,,,,,,,,,,,,,,
"Police and detectives, public service",0.098,0.045,0.731,1,,,,,,,,,,,,,,,
"Sheriffs, bailiffs, correctional institution officers",0.48,0.267,0.435,1,,,,,,,,,,,,,,,
Crossing guards,0.49,0.297,0.028,1,,,,,,,,,,,,,,,
"Guards and police, except public service",0.84,0.723,0.519,1,,,,,,,,,,,,,,,
"Protective service, n.e.c.",0.67,0.191,0.433,1,,,,,,,,,,,,,,,
Bartenders,0.77,0.802,0.343,1,,,,,,,,,,,,,,,
Waiters and waitresses,0.94,0.13,0.036,1,,,,,,,,,,,,,,,
Cooks,0.768,0.887,0.291,1,,,,,,,,,,,,,,,
Food preparation workers,0.87,0.556,0.002,1,,,,,,,,,,,,,,,
Miscellanious food preparation and service workers,0.895,0.553,0.047,1,,,,,,,,,,,,,,,
Dental Assistants,0.51,0.963,0.497,1,,,,,,,,,,,,,,,
Health and nursing aides,0.39,0.273,0.428,1,,,,,,,,,,,,,,,
Supervisors of cleaning and building service,0.94,0.246,0.324,2,,,,,,,,,,,,,,,
"Superv. of landscaping, lawn service, groundskeeping",0.57,0.121,0.556,2,,,,,,,,,,,,,,,
Gardeners and groundskeepers,0.95,0.316,0.239,1,,,,,,,,,,,,,,,
Janitors,0.66,0.386,0.025,1,,,,,,,,,,,,,,,
Pest control occupations,0.66,0.376,0.418,1,,,,,,,,,,,,,,,
Barbers,0.8,0.99,0.056,1,,,,,,,,,,,,,,,
Hairdressers and cosmetologists,0.11,0.82,0.162,1,,,,,,,,,,,,,,,
Recreation facility attendants,0.006,0.176,0.117,1,,,,,,,,,,,,,,,
Guides,0.484,0.446,0.335,1,,,,,,,,,,,,,,,
Ushers,0.96,0.583,0.036,1,,,,,,,,,,,,,,,
"Baggage porters, bellhops and concierges",0.52,0.118,0.27,1,,,,,,,,,,,,,,,
Recreation and fitness workers,0.046,0.012,0.356,1,,,,,,,,,,,,,,,
Motion picture projectionists,0.97,0.735,0.062,1,,,,,,,,,,,,,,,
Child care workers,0.084,0.537,0.433,1,,,,,,,,,,,,,,,
"Supervisors of personal service jobs, n.e.c",0.076,0.173,0.62,2,,,,,,,,,,,,,,,
Public transportation attendants and inspectors,0.825,0.027,0.431,1,,,,,,,,,,,,,,,
"Animal caretakers, except farm",0.82,0.629,0.322,1,,,,,,,,,,,,,,,
Supervisors of mechanics and repairers,0.003,0.249,0.816,1,,,,,,,,,,,,,,,
Automobile mechanics and repairers,0.59,0.379,0.555,1,,,,,,,,,,,,,,,
"Bus, truck, and stationary engine mechanics",0.73,0.382,0.448,1,,,,,,,,,,,,,,,
Aircraft mechanics,0.71,0.328,0.764,1,,,,,,,,,,,,,,,
Small engine repairers,0.93,0.613,0.355,1,,,,,,,,,,,,,,,
Auto body repairers,0.91,0.808,0.244,1,,,,,,,,,,,,,,,
Heavy equipement and farm equipment mechanics,0.575,0.395,0.353,1,,,,,,,,,,,,,,,
Industrial machinery repairers,0.86,0.455,0.335,1,,,,,,,,,,,,,,,
Machinery maintenance occupations,0.86,0.945,0.32,1,,,,,,,,,,,,,,,
Repairers of industrial electrical equipment,0.41,0.665,0.639,1,,,,,,,,,,,,,,,
Repairers of data processing equipment,0.74,0.747,0.429,1,,,,,,,,,,,,,,,
Repairers of household appliances and power tools,0.72,0.604,0.5,1,,,,,,,,,,,,,,,
